业务域编号,业务域,流程组编号,流程组名称,流程编号,流程名称,子流程编号,子流程名称,信息流图名称,业务表名称,是否输出业务项,线上线下输出物名称,对比业务表名称,SAP模块代码,SAP口令代码,目前表号,新表号,权威数据源系统1,权威数据源系统2,是否已挂附件,系统名称,操作,数据分布表编号,数据分布表名称,表责任部门,问题或建议,核查结果,来源文件,来源部门
,集成研发,,,12.1.5,概念定义阶段设计,,,12.1.5概念定义阶段设计信息流图,项目风险应答单,否,项目风险应答单,一致,,,,报告类无表单,纸质,,,,R,报告类无表单,项目风险应答单,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.5,概念定义阶段设计,,,12.1.5概念定义阶段设计信息流图,项目年度风险列表,否,项目年度风险列表,一致,,,,报告类无表单,纸质,,,,R,报告类无表单,项目年度风险列表,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.5,概念定义阶段设计,,,12.1.5概念定义阶段设计信息流图,项目资源获取评估表,否,项目资源获取评估表,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,项目资源获取评估表,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.5,概念定义阶段设计,,,12.1.5概念定义阶段设计信息流图,JCDP出口评审检查单,是,JCDP出口评审检查单,一致,,,,报告类无表单,纸质,,,,C,报告类无表单,JCDP出口评审检查单,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.5,概念定义阶段设计,,,12.1.5概念定义阶段设计信息流图,JCDP评审报告,是,JCDP评审报告,一致,,,,报告类无表单,纸质,,,,C,报告类无表单,JCDP评审报告,财务管理部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.5,概念定义阶段设计,,,12.1.5概念定义阶段设计信息流图,CBS,否,CBS,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,CBS,财务管理部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.5,概念定义阶段设计,,,12.1.5概念定义阶段设计信息流图,项目预算表,否,项目预算表,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,项目预算表,财务管理部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.5,概念定义阶段设计,,,12.1.5概念定义阶段设计信息流图,产品经济可行性分析报告,否,产品经济可行性分析报告,一致,,,,报告类无表单,纸质,,,,R,报告类无表单,产品经济可行性分析报告,财务管理部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.5,概念定义阶段设计,,,12.1.5概念定义阶段设计信息流图,项目成本报表,否,项目成本报表,一致,,,,报告类无表单,纸质,,,,R,报告类无表单,项目成本报表,质量安全部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.5,概念定义阶段设计,,,12.1.5概念定义阶段设计信息流图,产品检验规程,否,产品检验规程,一致,,,,报告类无表单,纸质,,,,R,报告类无表单,产品检验规程,质量安全部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
